;batch_id;name;conc;Count_nuclei_median;distance_q_25;distance_q_75;distance_median
0;CBK290949;Cathepsin Inhibitor 1;10.0;267.2857143;0.0;0.0;34.09711310570503
1;CBK290899;Triptolide;10.0;173.5;0.0;0.0;34.098751062185755
2;CBK040966;3'-fluorobenzylspiperone;10.0;263.0;0.0;0.0;34.09899659113384
3;CBK309514;SKLB1002;10.0;218.0;0.0;0.0;34.09920662353284
4;CBK303979;LY2584702 tosylate;10.0;179.0;0.0;0.0;34.09942282246898
5;CBK290789;DOXIFLURIDINE;10.0;180.4;0.0;0.0;34.099652785933564
6;CBK309558;SRT2104 (GSK2245840);10.0;225.1428571;0.0;0.0;34.09977707652209
7;CBK290427;Loxistatin Acid (E-64C);10.0;202.75;0.0;0.0;34.10006455416213
8;CBK293866;TIC10 analogue;10.0;205.5;0.0;0.0;34.100164242159806
9;CBK040900;diphenyleneiodonium;10.0;194.0;0.0;0.0;34.100225417000765
10;CBK303902;AZD7545;10.0;205.0;0.0;0.0;34.10048747684121
11;CBK303981;LY3009120;10.0;224.6666667;0.0;0.0;34.10059449169526
12;CBK041960;KANAMYCIN A SULFATE;10.0;214.5714286;0.0;0.0;34.10067728502219
13;CBK309526;IWP L6;10.0;224.2222222;0.0;0.0;34.100746242775145
14;CBK290896;Indacaterol Maleate;10.0;208.8;0.0;0.0;34.10077805191886
15;CBK309550;ML167;10.0;207.1428571;0.0;0.0;34.1007860484219
16;CBK309485;BAM7;10.0;198.5714286;0.0;0.0;34.10081395667573
17;CBK011621;paclitaxel;10.0;268.6;0.0;0.0;34.10105012144582
18;CBK290571;IRBESARTAN;10.0;200.7777778;0.0;0.0;34.101073703009845
19;CBK290276;SLV-320;10.0;197.0;0.0;0.0;34.10107486455413
20;CBK308984;XL228;10.0;196.8571429;0.0;0.0;34.101151327135916
21;CBK307852;ETEBENECID;10.0;189.75;0.0;0.0;34.1011671112919
22;CBK308190;ML-218;10.0;186.75;0.0;0.0;34.10116725776851
23;CBK277977;Vandetanib (ZD6474);10.0;207.7142857;0.0;0.0;34.101391506593025
24;CBK290518;Danofloxacin Mesylate;10.0;204.2222222;0.0;0.0;34.10141342492688
