CBCSbatch_id,arm,HIT_Cellpaiting Y/N,HIT_Antiviral AB Y/N,HIT_Phospholipidosis  Y/N,CP_Result,AntiviralAB_Result,CPE_Antiviral_Response dose 1,CPE_Antiviral_Response dose 2,CPE_Antiviral_Response dose 3,CPE_Antiviral_Response dose 4,CPE_Antiviral_Response dose 5,PL_Result,tanimoto,analog_to_CBCSbatch_id
BJ1898155,primary_hit,Y,Y,N,0.879489843,19.5,1.66,2.35,18.03,19.66,36.42,-0.143594243,,
BJ1898700,primary_hit,Y,Y,N,0.927244422,8.0,-1.42,1.25,1.83,16.03,52.35,-0.103759421,,
BJ1895019,primary_hit,Y,Y,N,0.556065868,39.0,-2.66,-0.7,2.93,27.58,52.55,-0.090143511,,
BJ1898883,primary_hit,Y,Y,N,0.565244466,52.0,0.45,3.25,1.09,24.5,25.25,-0.038924999,,
BJ1898579,primary_hit,Y,N,N,0.513903067,66.0,-0.72,0.74,9.43,54.04,55.52,-0.004366473,,
BJ1896670,primary_hit,Y,Y,N,0.923952185,6.5,-7.22,-6.04,-3.89,-3.35,35.24,0.102287054,,
BJ1896407,primary_hit,Y,Y,Y,0.717049052,7.5,-1.09,1.98,3.29,-1.5,66.2,1.043826913,,
BJ1898588,primary_hit,Y,Y,Y,0.702745665,9.5,-1.61,0.41,0.1,2.49,62.48,1.027675605,,
BJ1899181,primary_hit,Y,Y,N,0.761368652,11.0,0.85,-0.21,0.86,-0.23,23.63,-0.02694398,,
BJ1898542,primary_hit,Y,Y,Y,0.509405866,12.0,-2.72,-0.14,-1.04,-2.19,69.35,0.934606008,,
BJ1894069,primary_hit,Y,Y,N,0.814524615,12.5,-1.61,-1.53,-2.86,14.67,66.86,0.069781144,,
BJ1894340,primary_hit,Y,Y,Y,0.777147864,16.0,0.32,-2.69,-5.07,-6.64,18.15,1.157799781,,
BJ1895795,primary_hit,Y,Y,Y,0.78981145,17.5,-2.83,0.22,-2.5,-0.56,62.06,0.973546256,,
BJ1899046,primary_hit,Y,Y,Y,0.581647691,17.5,-1.26,-0.3,2.11,-0.39,24.4,0.951063118,,
BJ1894509,primary_hit,Y,Y,N,0.839130005,17.5,3.02,3.97,0.97,-1.05,44.72,0.503252678,,
BJ1894492,primary_hit,Y,Y,Y,0.622845062,19.5,-0.92,-0.33,0.18,-2.52,31.06,1.089806971,,
BJ1898077,primary_hit,Y,Y,Y,0.878248074,19.5,1.32,-1.92,-0.65,-1.29,23.08,0.946319757,,
BJ1894184,primary_hit,Y,Y,Y,0.792861522,21.5,4.62,6.47,6.09,-0.24,34.84,0.998173014,,
BJ1896192,primary_hit,Y,Y,Y,0.620223705,22.0,0.07,0.4,-0.65,-3.36,83.48,1.036013665,,
BJ1894256,primary_hit,Y,Y,N,0.762605605,22.0,1.92,1.62,0.95,9.61,81.1,0.131644086,,
BJ1898994,primary_hit,Y,Y,Y,0.601859824,23.0,-0.7,-0.23,-0.35,-2.49,54.39,1.017115046,,
BJ1897292,primary_hit,Y,Y,Y,0.70898591,23.0,-1.81,-0.8,0.2,-0.47,23.99,0.988506053,,
BJ1894606,primary_hit,Y,Y,N,0.547813099,23.0,1.63,1.79,1.68,26.46,13.18,0.051101413,,
BJ1894461,primary_hit,Y,Y,N,0.837360703,23.0,1.04,2.85,26.18,4.43,-23.74,0.047026118,,
BJ1896888,primary_hit,Y,Y,Y,0.73010921,24.0,0.66,-1.2,1.69,0.64,34.54,0.996897434,,
BJ1896266,primary_hit,Y,Y,Y,0.765898372,26.0,0.75,3.53,1.66,1.45,83.1,1.128133797,,
BJ1899023,primary_hit,Y,Y,Y,0.817044433,26.0,-1.34,7.36,10.62,-0.77,57.04,0.985162191,,
BJ1898853,primary_hit,Y,Y,Y,0.717175399,26.5,0.0,2.1,-0.53,-4.0,15.15,1.010681087,,
BJ1896977,primary_hit,Y,Y,Y,0.800520182,27.5,-2.83,1.16,3.76,-0.54,40.01,0.979923463,,
BJ1895625,primary_hit,Y,Y,N,0.729296696,28.5,3.34,2.9,2.29,3.53,24.08,0.248297242,,
BJ1898014,primary_hit,Y,Y,Y,0.721657863,29.5,-3.78,-1.48,-1.97,-4.23,22.49,0.979634642,,
BJ1897355,primary_hit,Y,Y,Y,0.759622394,29.5,-0.36,2.81,0.89,-1.34,37.03,0.58023617,,
BJ1898028,primary_hit,Y,Y,N,0.570351121,32.0,-0.57,-1.3,-0.9,4.17,15.92,-0.059756353,,
BJ1896382,primary_hit,Y,Y,N,0.708982302,35.0,1.57,2.52,-0.51,0.05,20.46,0.491656848,,
